행정동_코드,행정동_코드_명,자치구,lat,lon,실제_소비액_분기,기대_소비액_분기,소비_격차_금액,소비_격차_비율_pct,잔차_로그,잔차_ZScore,인프라_규모_지수,상권_분류_유형,총_상주인구_수,총_직장_인구_수,총_유동인구_수,집객시설_수,지하철_역_수,아파트_평균_시가
11230600,답십리1동,동대문구,37.571274662047024,127.05187832254228,4438254500.0,7408472854.0,-2970218354.0,-40.09,-0.5124,-0.665,0.322,소비 잠재력 상권 (High Potential),27834.0,1750.0,6871706.0,124.0,0.0,481259336.0
11230610,답십리2동,동대문구,37.570783745453,127.06103558265632,5236943750.0,5891990401.0,-655046651.0,-11.12,-0.1179,-0.153,0.298,균형 상권 (Balanced),27467.0,4714.0,5696556.0,108.0,0.0,367194404.0
11230650,장안1동,동대문구,37.566238618581984,127.06852502978792,12061304500.0,19921320615.0,-7860016115.0,-39.46,-0.5018,-0.652,0.974,소비 잠재력 상권 (High Potential),37191.0,10019.0,8856044.0,192.0,1.0,242312008.0
11230660,장안2동,동대문구,37.575642892297,127.07207692830464,10731766500.0,8507857783.0,2223908717.0,26.14,0.2322,0.302,0.718,균형 상권 (Balanced),32376.0,5320.0,7691080.0,168.0,0.0,269839336.0
11230705,청량리동,동대문구,37.58883777323814,127.04521030083602,4835031250.0,8920258852.0,-4085227602.0,-45.8,-0.6124,-0.795,0.266,소비 잠재력 상권 (High Potential),18688.0,2337.0,6101235.0,154.0,0.0,259040718.0
11230710,회기동,동대문구,37.593718569706766,127.05150891260784,10638964750.0,3792127688.0,6846837062.0,180.55,1.0316,1.339,-0.866,골목 로컬 핫플레이스 (Niche Hotspot),10313.0,51.0,4533961.0,84.0,0.0,195644398.0
11230720,휘경1동,동대문구,37.59195627228879,127.06260410145012,3917140000.0,3443421735.0,473718265.0,13.76,0.1289,0.167,-0.34,균형 상권 (Balanced),13580.0,732.0,5815783.0,82.0,3.0,269364510.0
11230730,휘경2동,동대문구,37.58663866455317,127.06582643327616,2026408000.0,2630350680.0,-603942680.0,-22.96,-0.2609,-0.339,-0.17,균형 상권 (Balanced),24158.0,1097.0,4325199.0,84.0,0.0,240740232.0
11230740,이문1동,동대문구,37.59737235630449,127.06044581582486,3514724500.0,7337312419.0,-3822587919.0,-52.1,-0.736,-0.956,0.331,소비 잠재력 상권 (High Potential),17724.0,1106.0,10193823.0,147.0,1.0,241674717.0
11230750,이문2동,동대문구,37.60284654638693,127.06751673938784,1425951750.0,1472476397.0,-46524647.0,-3.16,-0.0321,-0.042,-0.62,균형 상권 (Balanced),19385.0,256.0,3384947.0,71.0,1.0,392500480.0
11260520,면목2동,중랑구,37.58928928012044,127.07784189317408,3371885250.0,2579071560.0,792813690.0,30.74,0.268,0.348,0.005,균형 상권 (Balanced),23580.0,737.0,5440291.0,112.0,0.0,169038566.0
11260540,면목4동,중랑구,37.5736157956914,127.08537607090588,1084213500.0,1633681998.0,-549468498.0,-33.63,-0.41,-0.532,-0.458,소비 위축 지역 (Low Activity),18121.0,768.0,4657417.0,61.0,1.0,193480097.0
11260550,면목5동,중랑구,37.582522137682346,127.0788764183158,2557723500.0,1354589560.0,1203133940.0,88.82,0.6356,0.825,-0.964,골목 로컬 핫플레이스 (Niche Hotspot),14564.0,962.0,2383048.0,42.0,0.0,161532570.0
11260565,면목본동,중랑구,37.58831704664329,127.08937831220662,4900168750.0,6714399589.0,-1814230839.0,-27.02,-0.315,-0.409,0.58,소비 잠재력 상권 (High Potential),32648.0,811.0,9810360.0,168.0,1.0,161046904.0
11260570,면목7동,중랑구,37.57714209472521,127.0927950997119,4413379500.0,4370037235.0,43342265.0,0.99,0.0099,0.013,-0.055,균형 상권 (Balanced),21190.0,509.0,6114124.0,108.0,0.0,206799710.0
11260575,면목3?8동,중랑구,37.58448970223218,127.09835186573734,4458498250.0,5430611398.0,-972113148.0,-17.9,-0.1972,-0.256,0.329,균형 상권 (Balanced),24375.0,1762.0,6242806.0,150.0,1.0,162903032.0
11260580,상봉1동,중랑구,37.601723750827205,127.08943964601414,5005702500.0,3176210237.0,1829492263.0,57.6,0.4549,0.591,-0.148,골목 로컬 핫플레이스 (Niche Hotspot),23195.0,1611.0,4635460.0,78.0,4.0,232552683.0
11260590,상봉2동,중랑구,37.59432158968162,127.08401828830524,9557685750.0,7619652202.0,1938033548.0,25.43,0.2266,0.294,0.338,균형 상권 (Balanced),20258.0,4607.0,6962485.0,127.0,1.0,164323561.0
11260600,중화1동,중랑구,37.60259335216246,127.08307633450134,1718457750.0,2888049225.0,-1169591475.0,-40.5,-0.5192,-0.674,-0.256,소비 위축 지역 (Low Activity),18698.0,1094.0,4844460.0,79.0,0.0,176084174.0
11260610,중화2동,중랑구,37.59918398617633,127.07503253581206,4052176500.0,5294996577.0,-1242820077.0,-23.47,-0.2675,-0.347,0.104,균형 상권 (Balanced),23768.0,361.0,7723290.0,123.0,3.0,173970731.0
11260620,묵1동,중랑구,37.61372996106673,127.08253374020212,5025719750.0,5463361213.0,-437641463.0,-8.01,-0.0835,-0.108,0.426,균형 상권 (Balanced),33661.0,1165.0,6986751.0,144.0,0.0,211861425.0
11260630,묵2동,중랑구,37.61082503349898,127.07462517776844,3795885750.0,4866448384.0,-1070562634.0,-22.0,-0.2484,-0.323,-0.151,균형 상권 (Balanced),18004.0,1255.0,5178414.0,92.0,1.0,179173771.0
11260655,망우본동,중랑구,37.60213219711104,127.107445930793,7087806750.0,13154973407.0,-6067166657.0,-46.12,-0.6184,-0.803,0.93,소비 잠재력 상권 (High Potential),36438.0,1426.0,11423050.0,238.0,2.0,184330011.0
11260660,망우3동,중랑구,37.59188302898037,127.10283411874144,1843035500.0,1615329966.0,227705534.0,14.1,0.1319,0.171,-0.795,균형 상권 (Balanced),15615.0,223.0,3964734.0,54.0,0.0,149287198.0
11260680,신내1동,중랑구,37.616473193912,127.11042279893698,5480448000.0,6042499814.0,-562051814.0,-9.3,-0.0976,-0.127,0.493,균형 상권 (Balanced),37757.0,2688.0,4955296.0,160.0,1.0,274216702.0
11260690,신내2동,중랑구,37.61098427331462,127.09159130020971,3832026000.0,3782728131.0,49297869.0,1.3,0.0129,0.017,-0.486,균형 상권 (Balanced),19675.0,1355.0,1695112.0,104.0,0.0,356325541.0
11290525,성북동,성북구,37.5966849155429,126.99413438628186,3720581500.0,10234361369.0,-6513779869.0,-63.65,-1.0119,-1.314,0.367,소비 잠재력 상권 (High Potential),15875.0,20512.0,4200586.0,166.0,0.0,313604379.0
11290555,삼선동,성북구,37.58655732942989,127.01170699375596,7285723250.0,12096325375.0,-4810602125.0,-39.77,-0.507,-0.658,0.655,소비 잠재력 상권 (High Potential),22125.0,4986.0,10101068.0,163.0,2.0,250711937.0
11290575,동선동,성북구,37.59364726779841,127.01851329837636,11231758750.0,9405177860.0,1826580890.0,19.42,0.1775,0.23,0.23,균형 상권 (Balanced),14977.0,2040.0,7729482.0,146.0,1.0,181189828.0
11290580,돈암1동,성북구,37.59975491807728,127.02440331435469,982803250.0,795145367.0,187657883.0,23.6,0.2119,0.275,-1.171,균형 상권 (Balanced),14260.0,228.0,2278468.0,42.0,0.0,335447080.0
11290590,돈암2동,성북구,37.59708092788348,127.01159540593008,902229750.0,2368329559.0,-1466099809.0,-61.9,-0.9651,-1.253,-0.42,소비 위축 지역 (Low Activity),23417.0,552.0,2782878.0,88.0,0.0,419147665.0
11290600,안암동,성북구,37.58772606240176,127.02721861973257,6788469250.0,11282918203.0,-4494448953.0,-39.83,-0.5081,-0.66,0.282,소비 잠재력 상권 (High Potential),14869.0,1916.0,7634962.0,167.0,1.0,192016146.0
11290610,보문동,성북구,37.58282624761276,127.01913329976148,3153472500.0,5714453562.0,-2560981062.0,-44.82,-0.5945,-0.772,-0.107,소비 위축 지역 (Low Activity),16145.0,4757.0,5282002.0,77.0,2.0,253619175.0
