행정동_코드,행정동_코드_명,자치구,lat,lon,영역_면적,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,교육_지출_총금액,유흥_지출_총금액,여가_문화_지출_총금액,기타_지출_총금액,음식_지출_총금액,총_상주인구_수,남성_상주인구_수,여성_상주인구_수,연령대_10_상주인구_수,연령대_20_상주인구_수,연령대_30_상주인구_수,연령대_40_상주인구_수,연령대_50_상주인구_수,연령대_60_이상_상주인구_수,총_가구_수,아파트_가구_수,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,시간대_11_14_유동인구_수,시간대_17_21_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,지하철_역_수,버스_정거장_수,아파트_단지_수,아파트_평균_면적,아파트_평균_시가,아파트_가격_6_억_이상_세대_수,병원_약국_수,주말_유동인구_수,주중_유동인구_수
11650610,방배2동,서초구,37.465399968712596,126.99344382591029,1904030,80463568000.0,1221258500.0,70245250.0,35080750.0,921605250.0,197164750.0,497657000.0,370295750.0,72059484750.0,236645000.0,4854131000.0,18010.0,8404.0,9606.0,2442.0,2281.0,2679.0,2744.0,2828.0,5036.0,7831.0,0.0,15603.0,7589.0,8014.0,2643.0,4020.0,4313.0,2993.0,4455618.75,2046886.5,2408731.75,645502.0,732241.25,726503.75,670476.25,565011.0,809768.75,635098.5,637080.0,640111.75,643194.75,655638.5,639975.25,604519.75,114.0,4.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,37.0,349.0,65.0,528513471.0,943.0,3.0,1244495.0,3211123.5
11650620,방배3동,서초구,37.47437419914072,126.99791986162606,2375134,4509257500.0,453029250.0,31106250.0,39303750.0,3005672500.0,140977000.0,178334500.0,4602000.0,143931000.0,91660500.0,420640750.0,15757.0,7500.0,8257.0,2670.0,1800.0,1874.0,2500.0,2602.0,4311.0,5855.0,0.0,13530.0,8866.0,4664.0,2139.0,4018.0,3672.0,2203.0,3420072.5,1588119.0,1831954.0,443489.75,476902.75,588306.75,538194.75,402805.25,473468.5,493330.25,500258.25,501437.25,501480.5,492575.75,462985.75,468005.25,112.0,4.0,3.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,50.0,367.0,73.0,685949227.0,1530.0,8.0,930991.0,2489082.0
11650621,방배4동,서초구,37.48983518493925,126.99097667124698,949527,6605344750.0,869089750.0,145025750.0,59046750.0,2100215250.0,217116000.0,530256750.0,67227750.0,466156000.0,420670000.0,1730540750.0,22754.0,10319.0,12435.0,3880.0,2825.0,3126.0,4033.0,3755.0,5135.0,9556.0,0.0,16097.0,9948.0,6149.0,2785.0,4449.0,4011.0,3076.0,6369375.5,2830103.5,3539271.75,797800.5,967090.0,1195914.0,988089.25,798980.5,1096348.75,918544.0,921325.5,919381.0,921414.25,929458.5,890616.5,868636.75,156.0,3.0,10.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,1.0,31.0,499.0,82.0,576507140.0,1452.0,11.0,1759253.25,4610123.25
11650651,양재1동,서초구,37.46949760980856,127.0224956870398,5765358,10705756500.0,1761188750.0,212568750.0,130423250.0,2374376500.0,578754500.0,656167750.0,271552750.0,707005250.0,754692000.0,3259027000.0,41970.0,19916.0,22054.0,7162.0,4669.0,5981.0,7018.0,6403.0,10737.0,17799.0,0.0,24087.0,15586.0,8501.0,5654.0,6688.0,5488.0,3608.0,8531265.5,4280102.75,4251163.25,1036254.25,1641382.25,1671448.0,1220840.25,1272272.75,1412923.25,1286709.75,1298241.0,1303176.25,1302133.5,1261567.0,1039337.0,1040100.75,263.0,12.0,11.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,2.0,86.0,465.0,81.0,571532117.0,1887.0,21.0,2079437.75,6451827.5
11650652,양재2동,서초구,37.45114628839233,127.04574888856544,7562268,10159962750.0,2496126500.0,98767750.0,99126500.0,1470066250.0,714164750.0,605918500.0,177834000.0,726676500.0,301824500.0,3469457500.0,21157.0,10608.0,10549.0,2407.0,3148.0,4068.0,3407.0,3370.0,4757.0,10943.0,0.0,33724.0,25319.0,8405.0,4473.0,8268.0,9497.0,8910.0,5673596.75,2960560.25,2713036.5,772317.0,1227512.75,1153733.75,889984.75,810296.0,934050.25,845059.0,848798.75,852050.0,851933.75,841413.5,724822.25,709519.0,147.0,2.0,16.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,1.0,57.0,507.0,56.0,302331031.0,132.0,11.0,1434341.25,4239255.0
11650660,내곡동,서초구,37.45585534760794,127.07062814160918,12708880,2887232500.0,604890500.0,26870250.0,78498500.0,277586750.0,573845000.0,125081500.0,12485500.0,373141250.0,61923250.0,752910000.0,17000.0,8222.0,8778.0,2978.0,1636.0,2294.0,2922.0,2424.0,4746.0,7047.0,0.0,1371.0,892.0,479.0,201.0,283.0,290.0,294.0,1917116.0,932579.0,984537.0,144369.5,227236.0,327374.25,228947.75,220700.0,275992.5,275723.0,277835.0,276102.0,278213.0,275134.0,264065.25,270043.5,161.0,5.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,85.0,90.0,82.0,892412998.0,793.0,3.0,534108.75,1383007.0
11680510,신사동,강남구,37.52608123258473,127.02018221010985,2059234,38285137000.0,1763208000.0,1472573750.0,98476500.0,18455613250.0,371123500.0,968003250.0,817699000.0,6999064500.0,1430527000.0,5908848250.0,15436.0,7204.0,8232.0,2348.0,1899.0,2022.0,2506.0,2568.0,4093.0,6717.0,0.0,27674.0,16540.0,11134.0,5756.0,8383.0,7085.0,4225.0,6526451.25,3036843.5,3489607.75,1186985.5,1405286.25,1353951.0,897905.75,1114564.25,1335579.75,945057.0,974929.25,976078.75,983456.0,1009018.75,886203.5,751707.75,260.0,3.0,14.0,0.0,0.0,36.0,1.0,0.0,1.0,0.0,1.0,12.0,137.0,82.0,1000774827.0,577.0,36.0,1637911.25,4888539.75
11680521,논현1동,강남구,37.511871163299844,127.02650109404793,1258744,39603820750.0,2358798750.0,397185500.0,483664250.0,17416219500.0,208129250.0,1734159750.0,944797000.0,8794601250.0,1436797000.0,5829468500.0,20996.0,9908.0,11088.0,1371.0,3852.0,5204.0,3624.0,2772.0,4173.0,13524.0,0.0,45242.0,26462.0,18780.0,11837.0,13617.0,9633.0,6313.0,9469499.0,4530707.0,4938792.0,2051206.5,2529994.25,1959081.75,1173761.0,1427004.0,1655747.0,1412874.25,1437118.5,1443414.25,1445675.5,1435757.0,1195627.5,1099032.75,300.0,4.0,15.0,0.0,4.0,42.0,0.0,1.0,8.0,0.0,3.0,23.0,467.0,65.0,409434418.0,683.0,46.0,2294660.25,7174839.5
11680531,논현2동,강남구,37.51523834181583,127.03620734636495,1458524,25363885500.0,3593271000.0,940250000.0,861011250.0,7405921250.0,829107500.0,668755500.0,767933750.0,2724556500.0,2079124750.0,5493954000.0,20369.0,9434.0,10935.0,2079.0,3161.0,4071.0,3605.0,3040.0,4413.0,11204.0,0.0,57007.0,36529.0,20478.0,10931.0,16592.0,13817.0,9239.0,11759136.0,5825610.25,5933525.75,1985677.25,2847590.0,2602017.75,1605286.75,1929404.0,2028041.0,1783926.0,1833729.0,1851642.25,1846555.0,1792222.25,1390325.5,1260734.5,240.0,8.0,16.0,0.0,5.0,29.0,0.0,0.0,2.0,0.0,1.0,33.0,364.0,75.0,559871538.0,930.0,34.0,2651060.0,9108074.5
11680545,압구정동,강남구,37.52975405970077,127.03431370176712,2345057,39323780000.0,2224008000.0,2691733750.0,271403250.0,13884601500.0,276389750.0,2094306250.0,931574750.0,6984642750.0,2617685750.0,7347434250.0,26119.0,12090.0,14029.0,4614.0,2812.0,2812.0,4414.0,4347.0,7120.0,10177.0,0.0,50479.0,28382.0,22097.0,11239.0,15770.0,11602.0,7617.0,7489979.0,3393093.75,4096885.75,1249266.0,1478968.5,1535256.5,1021238.0,1273039.0,1490103.75,1054077.5,1098665.5,1102499.75,1120895.75,1153041.0,1052584.75,908213.75,313.0,4.0,25.0,0.0,5.0,30.0,2.0,1.0,3.0,0.0,2.0,18.0,173.0,115.0,1709243568.0,1467.0,35.0,1960798.5,5529179.5
