행정동_코드,행정동_코드_명,자치구,업종_영문,업종_명,실제_소비액,기대_소비액,소비_격차_금액,소비_격차_비율_pct,잔차_ZScore
11230536,용신동,동대문구,지출_총금액,전체_총소비,13412273250.0,25687257055.0,-12274983805.0,-47.79,-0.844
11230545,제기동,동대문구,지출_총금액,전체_총소비,11847453500.0,20104445990.0,-8256992490.0,-41.07,-0.687
11230560,전농1동,동대문구,지출_총금액,전체_총소비,6775495750.0,5870793218.0,904702532.0,15.41,0.186
11230570,전농2동,동대문구,지출_총금액,전체_총소비,1684850000.0,3533778592.0,-1848928592.0,-52.32,-0.962
11230600,답십리1동,동대문구,지출_총금액,전체_총소비,4438254500.0,7408472854.0,-2970218354.0,-40.09,-0.665
11230610,답십리2동,동대문구,지출_총금액,전체_총소비,5236943750.0,5891990401.0,-655046651.0,-11.12,-0.153
11230650,장안1동,동대문구,지출_총금액,전체_총소비,12061304500.0,19921320615.0,-7860016115.0,-39.46,-0.652
11230660,장안2동,동대문구,지출_총금액,전체_총소비,10731766500.0,8507857783.0,2223908717.0,26.14,0.302
11230705,청량리동,동대문구,지출_총금액,전체_총소비,4835031250.0,8920258852.0,-4085227602.0,-45.8,-0.795
11230710,회기동,동대문구,지출_총금액,전체_총소비,10638964750.0,3792127688.0,6846837062.0,180.55,1.339
11230720,휘경1동,동대문구,지출_총금액,전체_총소비,3917140000.0,3443421735.0,473718265.0,13.76,0.167
11230730,휘경2동,동대문구,지출_총금액,전체_총소비,2026408000.0,2630350680.0,-603942680.0,-22.96,-0.339
11230740,이문1동,동대문구,지출_총금액,전체_총소비,3514724500.0,7337312419.0,-3822587919.0,-52.1,-0.956
11230750,이문2동,동대문구,지출_총금액,전체_총소비,1425951750.0,1472476397.0,-46524647.0,-3.16,-0.042
11260520,면목2동,중랑구,지출_총금액,전체_총소비,3371885250.0,2579071560.0,792813690.0,30.74,0.348
11260540,면목4동,중랑구,지출_총금액,전체_총소비,1084213500.0,1633681998.0,-549468498.0,-33.63,-0.532
11260550,면목5동,중랑구,지출_총금액,전체_총소비,2557723500.0,1354589560.0,1203133940.0,88.82,0.825
11260565,면목본동,중랑구,지출_총금액,전체_총소비,4900168750.0,6714399589.0,-1814230839.0,-27.02,-0.409
11260570,면목7동,중랑구,지출_총금액,전체_총소비,4413379500.0,4370037235.0,43342265.0,0.99,0.013
11260575,면목3?8동,중랑구,지출_총금액,전체_총소비,4458498250.0,5430611398.0,-972113148.0,-17.9,-0.256
11260580,상봉1동,중랑구,지출_총금액,전체_총소비,5005702500.0,3176210237.0,1829492263.0,57.6,0.591
11260590,상봉2동,중랑구,지출_총금액,전체_총소비,9557685750.0,7619652202.0,1938033548.0,25.43,0.294
11260600,중화1동,중랑구,지출_총금액,전체_총소비,1718457750.0,2888049225.0,-1169591475.0,-40.5,-0.674
11260610,중화2동,중랑구,지출_총금액,전체_총소비,4052176500.0,5294996577.0,-1242820077.0,-23.47,-0.347
11260620,묵1동,중랑구,지출_총금액,전체_총소비,5025719750.0,5463361213.0,-437641463.0,-8.01,-0.108
11260630,묵2동,중랑구,지출_총금액,전체_총소비,3795885750.0,4866448384.0,-1070562634.0,-22.0,-0.323
11260655,망우본동,중랑구,지출_총금액,전체_총소비,7087806750.0,13154973407.0,-6067166657.0,-46.12,-0.803
11260660,망우3동,중랑구,지출_총금액,전체_총소비,1843035500.0,1615329966.0,227705534.0,14.1,0.171
11260680,신내1동,중랑구,지출_총금액,전체_총소비,5480448000.0,6042499814.0,-562051814.0,-9.3,-0.127
11260690,신내2동,중랑구,지출_총금액,전체_총소비,3832026000.0,3782728131.0,49297869.0,1.3,0.017
11290525,성북동,성북구,지출_총금액,전체_총소비,3720581500.0,10234361369.0,-6513779869.0,-63.65,-1.314
11290555,삼선동,성북구,지출_총금액,전체_총소비,7285723250.0,12096325375.0,-4810602125.0,-39.77,-0.658
11290575,동선동,성북구,지출_총금액,전체_총소비,11231758750.0,9405177860.0,1826580890.0,19.42,0.23
11290580,돈암1동,성북구,지출_총금액,전체_총소비,982803250.0,795145367.0,187657883.0,23.6,0.275
11290590,돈암2동,성북구,지출_총금액,전체_총소비,902229750.0,2368329559.0,-1466099809.0,-61.9,-1.253
11290600,안암동,성북구,지출_총금액,전체_총소비,6788469250.0,11282918203.0,-4494448953.0,-39.83,-0.66
11290610,보문동,성북구,지출_총금액,전체_총소비,3153472500.0,5714453562.0,-2560981062.0,-44.82,-0.772
11290620,정릉1동,성북구,지출_총금액,전체_총소비,1614035750.0,1517473611.0,96562139.0,6.36,0.08
11290630,정릉2동,성북구,지출_총금액,전체_총소비,3786725000.0,4381389358.0,-594664358.0,-13.57,-0.189
11290640,정릉3동,성북구,지출_총금액,전체_총소비,2218703250.0,2297925865.0,-79222615.0,-3.45,-0.046
